algorithm,inputType,size,timeNanos,maxRecursionDepth,comparisons
MergeSort,RANDOM,100,96000,4,676
QuickSort,RANDOM,100,192000,4,620
DeterministicSelect,RANDOM,100,146300,6,516
MergeSort,SORTED,100,41300,4,244
QuickSort,SORTED,100,111200,3,674
DeterministicSelect,SORTED,100,66800,6,371
MergeSort,REVERSE_SORTED,100,72900,4,724
QuickSort,REVERSE_SORTED,100,66000,4,623
DeterministicSelect,REVERSE_SORTED,100,111100,6,630
MergeSort,DUPLICATE_HEAVY,100,81800,4,635
QuickSort,DUPLICATE_HEAVY,100,150700,4,807
DeterministicSelect,DUPLICATE_HEAVY,100,68900,4,396
MergeSort,RANDOM,1000,1074500,7,10282
QuickSort,RANDOM,1000,207600,6,12049
DeterministicSelect,RANDOM,1000,604500,10,5871
MergeSort,SORTED,1000,591600,7,3956
QuickSort,SORTED,1000,142100,7,10064
DeterministicSelect,SORTED,1000,292800,10,4226
MergeSort,REVERSE_SORTED,1000,95500,7,10300
QuickSort,REVERSE_SORTED,1000,172200,6,11044
DeterministicSelect,REVERSE_SORTED,1000,181200,9,6673
MergeSort,DUPLICATE_HEAVY,1000,100600,7,9716
QuickSort,DUPLICATE_HEAVY,1000,540000,3,53832
DeterministicSelect,DUPLICATE_HEAVY,1000,123100,5,2373
MergeSort,RANDOM,10000,2104100,11,127224
QuickSort,RANDOM,10000,1792700,9,152745
DeterministicSelect,RANDOM,10000,846400,13,65235
MergeSort,SORTED,10000,1025600,11,59248
QuickSort,SORTED,10000,601100,8,148060
DeterministicSelect,SORTED,10000,920600,13,45526
MergeSort,REVERSE_SORTED,10000,1801000,11,93648
QuickSort,REVERSE_SORTED,10000,866800,9,162766
DeterministicSelect,REVERSE_SORTED,10000,791700,13,69471
MergeSort,DUPLICATE_HEAVY,10000,2282700,11,121453
QuickSort,DUPLICATE_HEAVY,10000,8543300,3,5041237
DeterministicSelect,DUPLICATE_HEAVY,10000,646200,8,42677
MergeSort,RANDOM,50000,14221400,13,769481
QuickSort,RANDOM,50000,5850300,10,930383
DeterministicSelect,RANDOM,50000,4704500,16,329199
MergeSort,SORTED,50000,9780300,13,347008
QuickSort,SORTED,50000,2709900,10,913330
DeterministicSelect,SORTED,50000,2806600,16,235889
MergeSort,REVERSE_SORTED,50000,2565000,13,579408
QuickSort,REVERSE_SORTED,50000,3175600,10,947501
DeterministicSelect,REVERSE_SORTED,50000,2899500,15,353167
MergeSort,DUPLICATE_HEAVY,50000,3250700,13,733260
QuickSort,DUPLICATE_HEAVY,50000,176065100,3,125160928
DeterministicSelect,DUPLICATE_HEAVY,50000,1871400,8,130759
